INFO 2024-08-10 14:43:34,607 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\random.py first seen with mtime 1722342057.1907535
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\wsgi.py first seen with mtime 1722342985.4982255
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1722342972.2497964
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\utils\hashable.py first seen with mtime 1722342987.6279125
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1722342986.1900263
DEBUG 2024-08-10 14:43:34,924 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\apps\__init__.py first seen with mtime 1722342964.565227
DEBUG 2024-08-10 14:43:34,940 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\gzip.py first seen with mtime 1722342017.593072
DEBUG 2024-08-10 14:43:34,940 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1722342986.3248906
DEBUG 2024-08-10 14:43:34,945 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1722342980.5915332
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1722342985.9562721
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1722342987.7797625
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\email\feedparser.py first seen with mtime 1722341993.289236
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\http\__init__.py first seen with mtime 1722342017.6173687
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\forms\renderers.py first seen with mtime 1722342986.6918938
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\urls\utils.py first seen with mtime 1722342987.5312784
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\process.py first seen with mtime 1722342057.0727897
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\DLLs\_zoneinfo.pyd first seen with mtime 1723024858.482767
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\_compression.py first seen with mtime 1722342095.9646716
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\DLLs\_uuid.pyd first seen with mtime 1723024858.4696727
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1722342972.1600091
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\__init__.py first seen with mtime 1722341993.133065
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\utils\http.py first seen with mtime 1722342987.6352372
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1722342973.9225948
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\_compat_pickle.py first seen with mtime 1722342095.9636805
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\html\entities.py first seen with mtime 1722342017.5962572
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\utils\formats.py first seen with mtime 1722342987.6199226
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1722342975.58071
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\getpass.py first seen with mtime 1722342017.5900896
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\email\charset.py first seen with mtime 1722341993.287235
DEBUG 2024-08-10 14:43:34,953 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1722342987.8276062
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\threads.py first seen with mtime 1722341993.1283526
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\http\cookie.py first seen with mtime 1722342987.2472131
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\base_futures.py first seen with mtime 1722341993.1109257
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\tasks.py first seen with mtime 1722341993.1273718
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\warnings.py first seen with mtime 1722342090.217103
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1722342972.1750154
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\files\locks.py first seen with mtime 1722342985.6423583
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\operator.py first seen with mtime 1722342057.138068
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\hashlib.py first seen with mtime 1722342017.5940697
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\pickle.py first seen with mtime 1723024925.6291573
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\logging\handlers.py first seen with mtime 1723024915.4749365
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\template\backends\base.py first seen with mtime 1722342987.4018962
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1722342964.1317925
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1722342973.9141746
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\mimetypes.py first seen with mtime 1723024915.5046942
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\email\header.py first seen with mtime 1722341993.2902348
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\timeouts.py first seen with mtime 1722341993.1293497
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\base_subprocess.py first seen with mtime 1722341993.1119213
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\lzma.py first seen with mtime 1722342057.034768
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\models\constants.py first seen with mtime 1722342986.3788452
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\http\request.py first seen with mtime 1722342987.256385
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\html\__init__.py first seen with mtime 1722342017.6008053
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1722342970.7770863
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\graphlib.py first seen with mtime 1722342017.593072
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\django_mediatheque\urls.py first seen with mtime 1723126075.354769
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1722342985.7031338
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\template\engine.py first seen with mtime 1722342987.3631952
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\forms\widgets.py first seen with mtime 1722342986.7024024
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1722342973.9370022
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1722342964.080093
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\models\enums.py first seen with mtime 1722342986.3944867
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\subprocess.py first seen with mtime 1722342083.515732
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\apps\config.py first seen with mtime 1722342964.5702846
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\views\static.py first seen with mtime 1722342987.7747624
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1722342985.6680675
DEBUG 2024-08-10 14:43:34,956 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\signals.py first seen with mtime 1722342985.481946
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\linecache.py first seen with mtime 1723024915.4729366
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1722342970.780083
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\email\mime\message.py first seen with mtime 1722341993.2942357
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1722342973.9063685
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\template\response.py first seen with mtime 1722342987.3867745
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\models\base.py first seen with mtime 1722342986.3748455
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\proactor_events.py first seen with mtime 1722341993.118088
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1722342986.3691545
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1722342985.3973007
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\django_mediatheque\settings.py first seen with mtime 1723293707.1916134
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1722342986.195266
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\re\_parser.py first seen with mtime 1722342057.1980126
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1722342987.346427
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\forms\models.py first seen with mtime 1722342986.681409
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\encodings\utf_8.py first seen with mtime 1722342005.4528768
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\DLLs\select.pyd first seen with mtime 1723024858.2150004
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\sqlparse\cli.py first seen with mtime 1722342964.0574355
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\typing.py first seen with mtime 1723024991.0027
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1722342986.5720563
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\staggered.py first seen with mtime 1722341993.123108
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\context.py first seen with mtime 1722342057.0562067
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1722342985.4107301
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\urls\__init__.py first seen with mtime 1722342987.510024
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1722342987.5759532
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1722342985.6158957
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1722342985.5398655
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\pprint.py first seen with mtime 1722342057.1552863
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1722342987.8317897
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1722342986.50336
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\email\_parseaddr.py first seen with mtime 1722342005.32444
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1722342986.5223012
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1722342966.783598
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\events.py first seen with mtime 1722341993.1139202
DEBUG 2024-08-10 14:43:34,971 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\json\__init__.py first seen with mtime 1722342056.8186512
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Users\theop\project_mediatheque\django_mediatheque\gestion\urls.py first seen with mtime 1723222692.2608502
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\views\__init__.py first seen with mtime 1722342987.7475784
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1722342985.5972753
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1722342985.6284182
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\subprocess.py first seen with mtime 1722341993.1251094
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1722342966.7206502
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1722342972.2145422
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1722342987.6694036
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\utils\text.py first seen with mtime 1722342987.6915507
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1722342987.5545735
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\constants.py first seen with mtime 1722341993.1129212
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\core\management\color.py first seen with mtime 1722342985.7645645
DEBUG 2024-08-10 14:43:34,987 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\inspect.py first seen with mtime 1723024915.2991817
